"diffusion_input","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","0.0011459024623690977","7500","6416","false","6416"
"0.0","0.0028756904606273394","5712","2318","false","2318"
"0.0","4.0938628090651227E-4","11041","84665","false","84665"
"0.0","0.004416021710116202","3623","88","false","88"
"0.0","0.009463051803079117","795","90","true","90"
"0.0","8.602268650356131E-4","8447","2339","false","2339"
"0.0","0.0013583631757677858","7041","2624","false","2624"
"0.0","0.012173657445637245","407","5371","true","5371"
"0.0","0.010857917864914794","567","6118","true","6118"
"0.0","0.023670736957831257","167","6774","true","6774"
"0.0","0.006497173460709018","2044","375","false","375"
"0.0","0.0014635615084868955","6860","23163","false","23163"
"0.0","0.0010978873651822354","7636","377","false","377"
"0.0","0.002767279388479028","5785","23647","false","23647"
"0.0","0.005492075715299475","2541","27236","false","27236"
"0.0","0.002275568635768648","6171","54464","false","54464"
"0.0","0.00862351393910374","1028","226","true","226"
"0.0","0.009394878336180463","805","351","true","351"
"0.0","0.0043731971225517375","3685","10513","false","10513"
"0.0","7.935466453094823E-4","8705","333","false","333"
"0.0","0.006329096232076595","2136","1600","false","1600"
"0.0","4.904542380452049E-4","10401","10370","false","10370"
"0.0","0.0016735870165377068","6617","7020","false","7020"
"0.0","0.014167267060597791","288","2033","true","2033"
"0.0","0.0063524685899924134","2123","338","false","338"
"0.0","0.0016010762012262539","6690","4547","false","4547"
"0.0","0.009955865737728886","703","409","true","409"
"0.0","0.00810491081254518","1207","5900","true","5900"
"0.0","0.0015839813968419284","6705","1436","false","1436"
"0.0","0.021932248635934678","172","2885","true","2885"
"0.0","0.002835405902637298","5737","7916","false","7916"
"0.0","0.0011168076465719542","7584","27257","false","27257"
"0.0","0.0016889155035004447","6599","4677","false","4677"
"0.0","4.272028984660896E-4","10898","6521","false","6521"
"0.0","0.0061856618636448495","2207","22950","false","22950"
"0.0","0.006683981706939264","1939","602","true","602"
"0.0","0.00310062886152461","5559","580","false","580"
"0.0","1.8048735687459187E-4","13920","153","false","153"
"0.0","0.007277842673801794","1570","10755","true","10755"
"0.0","0.008539172395999748","1054","672","true","672"
"0.0","7.583446628968983E-4","8865","466","false","466"
"0.0","0.005123436399436968","2709","4436","false","4436"
"0.0","0.0024673232316129654","5978","2956","false","2956"
"0.0","7.293768974519277E-4","8988","421","false","421"
"0.0","2.7302771174507484E-4","12530","1013","false","1013"
"0.0","9.349265459746081E-4","8159","5092","false","5092"
"0.0","7.172194670080911E-4","9053","775","false","775"
"0.0","9.715078900367411E-4","8043","5664","false","5664"
"0.0","0.002205690888185059","6236","823","false","823"
"0.0","0.004505268315375177","3473","825","false","825"
"0.0","0.0058630536800901465","2355","7273","false","7273"
"0.0","0.0013942581184513026","6977","3708","false","3708"
"0.0","4.6759272070134053E-4","10579","767","false","767"
"0.0","0.0013323068201611017","7088","9223","false","9223"
"0.0","0.010753562174065777","585","1499","true","1499"
"0.0","0.010520857739670982","617","5925","true","5925"
"0.0","0.004263870543144889","3857","1523","false","1523"
"0.0","0.00802861004148524","1236","7251","true","7251"
"0.0","0.008177012188357929","1173","1026","true","1026"
"0.0","0.0013900184454878847","6982","4998","false","4998"
"0.0","0.007692254378206471","1363","4171","true","4171"
"0.0","0.006832795475265875","1856","5000","true","5000"
"0.0","0.010857482494116447","568","4174","true","4174"
"0.0","0.0035462279150135045","5072","8317","false","8317"
"0.0","0.003773872100930055","4734","4999","false","4999"
"0.0","5.369091466287038E-4","10099","10926","false","10926"
"0.0","0.004941518855449524","2849","10270","false","10270"
"0.0","0.007290721764671775","1556","6117","true","6117"
"0.0","0.006783907656943577","1888","6119","true","6119"
"0.0","0.001293868213322439","7161","5001","false","5001"
"0.0","0.00908909623527663","887","4172","true","4172"
"0.0","0.010579767720465675","608","7534","true","7534"
"0.0","0.0026894016725144817","5829","993","false","993"
"0.0","0.004627304810758753","3269","81704","false","81704"
"0.0","0.010239189668872984","658","998","true","998"
"0.0","0.0037448408585667617","4784","9322","false","9322"
"0.0","0.004365101630715853","3700","1033","false","1033"
"0.0","0.008670061249898444","1010","1017","true","1017"
"0.0","0.001796681768510067","6517","5932","false","5932"
"0.0","0.004057740216522306","4218","5933","false","5933"
"0.0","0.008343748202763348","1114","9464","true","9464"
"0.0","0.00414490562840776","4061","1059","false","1059"
"0.0","0.010336238344284914","641","1213","true","1213"
"0.0","0.010626394624899975","604","9146","true","9146"
"1.0","0.7957283872567613","85","3486","true","3486"
"0.0","0.018729626500462893","192","1277","true","1277"
"0.0","0.013045874096908282","353","7295","true","7295"
"0.0","0.0078052417759717","1319","1386","true","1386"
"0.0","0.008240743511814608","1152","4088","true","4088"
"0.0","0.007964406693499732","1256","4089","true","4089"
"0.0","0.00981517213442934","728","896","true","896"
"0.0","0.001742487493090355","6553","27335","false","27335"
"0.0","0.003964242710412022","4387","10928","false","10928"
"0.0","0.0026272498070480012","5867","891","false","891"
"0.0","0.012040923067041956","418","5479","true","5479"
"0.0","0.009463674628546862","794","819","true","819"
"0.0","0.008241303064976285","1151","1445","true","1445"
"0.0","0.011469220919863984","472","3643","true","3643"
"0.0","0.010070817700048095","684","3480","true","3480"
"0.0","0.0028337433904286175","5738","1634","false","1634"
"0.0","0.013714031974570648","314","1956","true","1956"
"0.0","5.57121731305419E-4","9960","6493","false","6493"
"0.0","0.009868608412039593","718","405","true","405"
"0.0","1.9401853178807076E-4","13673","6492","false","6492"
