"diffusion_input","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","0.0012916924899211027","7616","6416","false","6416"
"0.0","0.00299229676305036","5993","2318","false","2318"
"0.0","4.3680032009352774E-4","11159","84665","false","84665"
"0.0","0.004599882679210378","3635","88","false","88"
"0.0","0.009413438490477898","929","90","true","90"
"0.0","0.00472179957217263","3431","2339","false","2339"
"0.0","0.0033715400769046776","5626","2624","false","2624"
"0.0","0.012553981756035072","429","5371","true","5371"
"0.0","0.009942801317243576","806","6118","true","6118"
"0.0","0.02932655646482026","161","6774","true","6774"
"0.0","0.006563518510835967","2193","375","false","375"
"0.0","0.0015669827463367855","7187","23163","false","23163"
"0.0","0.0011502589342622465","7938","377","false","377"
"0.0","0.0028510843598722586","6103","23647","false","23647"
"0.0","0.00553916758287949","2769","27236","false","27236"
"0.0","0.002347907656548139","6525","54464","false","54464"
"0.0","0.008737319076051159","1122","226","true","226"
"0.0","0.009735294105871435","847","351","true","351"
"0.0","0.004502460101102788","3798","10513","false","10513"
"0.0","8.058205226842904E-4","9058","333","false","333"
"0.0","0.0064644660986321375","2249","1600","false","1600"
"0.0","0.004925671865173454","3159","10370","false","10370"
"0.0","0.005184510033203907","2956","7020","false","7020"
"0.0","0.014409378306359785","312","2033","true","2033"
"0.0","0.006479067989557027","2243","338","false","338"
"0.0","0.0016265753428097228","7107","4547","false","4547"
"0.0","0.011151779946686454","593","409","true","409"
"0.0","0.008239651736473598","1299","5900","true","5900"
"0.0","0.0017228248580942757","7011","1436","false","1436"
"0.0","0.021243537424948607","187","2885","true","2885"
"0.0","0.0029496124069263896","6030","7916","false","7916"
"0.0","0.0011305963673953333","7988","27257","false","27257"
"0.0","0.0017271153669638395","7008","4677","false","4677"
"0.0","5.200691259399624E-4","10554","6521","false","6521"
"0.0","0.006223997745561792","2392","22950","false","22950"
"0.0","0.008438638615244864","1232","602","true","602"
"0.0","0.005040376890591852","3057","580","false","580"
"0.0","2.0486997027593064E-4","13768","153","false","153"
"0.0","0.007363264423258434","1687","10755","true","10755"
"0.0","0.009355484826704818","946","672","true","672"
"0.0","7.943204921056523E-4","9092","466","false","466"
"0.0","0.005264374031975386","2909","4436","false","4436"
"0.0","0.002580793676066872","6313","2956","false","2956"
"0.0","8.076992101663438E-4","9050","421","false","421"
"0.0","2.798509409257952E-4","12735","1013","false","1013"
"0.0","0.0011193824174430815","8029","5092","false","5092"
"0.0","7.596532902550463E-4","9259","775","false","775"
"0.0","0.003936913245786445","4775","5664","false","5664"
"0.0","0.002372746240558456","6504","823","false","823"
"0.0","0.004551638933410266","3715","825","false","825"
"0.0","0.005967912929227939","2536","7273","false","7273"
"0.0","0.0014990076878572398","7283","3708","false","3708"
"0.0","5.172062617466134E-4","10571","767","false","767"
"0.0","0.0014530338215770562","7349","9223","false","9223"
"0.0","0.01175652553547417","498","1499","true","1499"
"0.0","0.010697742297835348","667","5925","true","5925"
"0.0","0.006463453533983448","2253","1523","false","1523"
"0.0","0.008256415986919357","1294","7251","true","7251"
"0.0","0.009072201687691612","1025","1026","true","1026"
"0.0","0.0014518817833219363","7352","4998","false","4998"
"0.0","0.008111603953600947","1351","4171","true","4171"
"0.0","0.006899598227891785","1980","5000","false","5000"
"0.0","0.009767731868564817","839","4174","true","4174"
"0.0","0.0036027967886303755","5307","8317","false","8317"
"0.0","0.003828143592275403","4974","4999","false","4999"
