"diffusion_input","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","0.0013171313743159858","7472","6416","false","6416"
"0.0","0.0029357489556483007","5926","2318","false","2318"
"0.0","4.1272393875636625E-4","11256","84665","false","84665"
"0.0","0.0045029561990172955","3694","88","false","88"
"0.0","0.013607141417197552","340","90","true","90"
"0.0","0.004728948503934344","3326","2339","false","2339"
"0.0","0.0033331353329954473","5521","2624","false","2624"
"0.0","0.012328143450271231","434","5371","true","5371"
"0.0","0.009832552186149243","787","6118","true","6118"
"0.0","0.029237464259162165","159","6774","true","6774"
"0.0","0.0044585772206372715","3783","375","false","375"
"0.0","0.001560906999745688","7109","23163","false","23163"
"0.0","0.0011599241617636345","7829","377","false","377"
"0.0","0.002803427917186344","6032","23647","false","23647"
"0.0","0.005535871258446405","2700","27236","false","27236"
"0.0","0.0023111547769379998","6476","54464","false","54464"
"0.0","0.008728781906705736","1086","226","true","226"
"0.0","0.009675336298345895","823","351","true","351"
"0.0","0.0044493972513383415","3795","10513","false","10513"
"0.0","7.717807611355955E-4","9103","333","false","333"
"0.0","0.00636517890114083","2240","1600","false","1600"
"0.0","0.0049222393921737224","3079","10370","false","10370"
"0.0","0.00516987133123788","2892","7020","false","7020"
"0.0","0.01377607996566952","328","2033","true","2033"
"0.0","0.006490028854627542","2160","338","false","338"
"0.0","0.001619067178199133","7028","4547","false","4547"
"0.0","0.01103422439795546","588","409","true","409"
"0.0","0.008240234195565115","1270","5900","true","5900"
"0.0","0.0016133392581124807","7036","1436","false","1436"
"0.0","0.019939119456623525","186","2885","true","2885"
"0.0","0.002879860116039354","5968","7916","false","7916"
"0.0","0.0011387973833564082","7897","27257","false","27257"
"0.0","0.0017537538881321581","6909","4677","false","4677"
"0.0","5.226722407435332E-4","10427","6521","false","6521"
"0.0","0.006228864445500547","2307","22950","false","22950"
"0.0","0.008320704994197426","1239","602","true","602"
"0.0","0.0049322997309914655","3068","580","false","580"
"0.0","2.0510089443299178E-4","13662","153","false","153"
"0.0","0.0073735141313587904","1625","10755","true","10755"
"0.0","0.009260896208269049","932","672","true","672"
"0.0","7.97679497824303E-4","9003","466","false","466"
"0.0","0.005212476788969498","2868","4436","false","4436"
"0.0","0.0025770923930263675","6225","2956","false","2956"
"0.0","8.13453085488411E-4","8947","421","false","421"
"0.0","2.5616031249254336E-4","12935","1013","false","1013"
"0.0","0.0010369262592626245","8178","5092","false","5092"
"0.0","7.376214692543747E-4","9260","775","false","775"
"0.0","0.0039013134415385705","4676","5664","false","5664"
"0.0","0.0023403002927747047","6450","823","false","823"
"0.0","0.0045058230077573615","3690","825","false","825"
"0.0","0.005917335845404387","2495","7273","false","7273"
"0.0","0.0014865763200048357","7214","3708","false","3708"
"0.0","5.334626880918364E-4","10356","767","false","767"
"0.0","0.0014480536379690016","7273","9223","false","9223"
"0.0","0.011562519296389344","504","1499","true","1499"
"0.0","0.010511680985435881","677","5925","true","5925"
"0.0","0.006444443295630719","2193","1523","false","1523"
"0.0","0.008112890757163387","1312","7251","true","7251"
"0.0","0.007811118368591284","1437","1026","true","1026"
"0.0","0.0014308463419210305","7295","4998","false","4998"
"0.0","0.008177478093110197","1287","4171","true","4171"
"0.0","0.006900552457385483","1932","5000","true","5000"
"0.0","0.009449130180610143","877","4174","true","4174"
"0.0","0.0011081117196779177","7974","8317","false","8317"
"0.0","0.0037948001535160186","4865","4999","false","4999"
"0.0","5.200007706977713E-4","10441","10926","false","10926"
"0.0","0.0020306288777324328","6703","10270","false","10270"
"0.0","0.007265509640206655","1679","6117","true","6117"
"0.0","0.006721541572226961","2022","6119","false","6119"
"0.0","0.0036570399422559455","5077","5001","false","5001"
"0.0","0.007467329565964916","1584","4172","true","4172"
"0.0","0.010846141999750057","620","7534","true","7534"
"0.0","0.002787744885087428","6043","993","false","993"
"0.0","0.004668404014441749","3418","81704","false","81704"
"0.0","0.010476731390306748","685","998","true","998"
"0.0","0.0037594409593018486","4917","9322","false","9322"
"0.0","0.004371495245159433","3907","1033","false","1033"
"0.0","0.008782452250307623","1067","1017","true","1017"
"0.0","0.0018716543270585074","6826","5932","false","5932"
"0.0","0.004067581705958785","4406","5933","false","5933"
"0.0","0.00837949708593852","1212","9464","true","9464"
"0.0","0.004720852510584954","3339","1059","false","1059"
"0.0","0.01049418379046202","681","1213","true","1213"
"0.0","0.012861708080646204","386","9146","true","9146"
"1.0","0.7957449831068213","80","3486","true","3486"
"0.0","0.018753822030601063","209","1277","true","1277"
"0.0","0.00968851625288632","821","7295","true","7295"
"0.0","0.009494713400604773","863","1386","true","1386"
"0.0","0.009526401250074038","857","4088","true","4088"
"0.0","0.008599590261363057","1136","4089","true","4089"
"0.0","0.009817396120398707","792","896","true","896"
"0.0","0.0017661671936998614","6896","27335","false","27335"
"0.0","0.0040985607313272455","4354","10928","false","10928"
"0.0","0.0025900533312927464","6213","891","false","891"
"0.0","0.012137196399227156","447","5479","true","5479"
"0.0","0.006690481604437876","2042","819","false","819"
"0.0","0.0074340141788226495","1600","1445","true","1445"
"0.0","0.0115738613479767","502","3643","true","3643"
"0.0","0.008320345599951958","1240","3480","true","3480"
"0.0","0.0028477536131218603","5997","1634","false","1634"
"0.0","0.012747301126967772","399","1956","true","1956"
"0.0","5.914251240403237E-4","10013","6493","false","6493"
"0.0","0.012552682482730292","418","405","true","405"
"0.0","2.1006103092382754E-4","13588","6492","false","6492"
"0.0","1.1879528899560889E-4","15248","266743","false","266743"
"0.0","4.369582811591139E-4","11043","1839","false","1839"
"0.0","0.010000089122957025","759","7704","true","7704"
"0.0","0.006181442410230973","2332","5111","false","5111"
"0.0","0.004172040970822386","4233","1647","false","1647"
"0.0","0.004889750763582644","3120","11073","false","11073"
"0.0","0.00548705495044672","2727","7155","false","7155"
"0.0","0.007334985196208729","1643","2316","true","2316"
"0.0","5.133056697235456E-4","10487","1814","false","1814"
"0.0","0.0013669614845812942","7391","27258","false","27258"
"0.0","0.004476481881812614","3747","6635","false","6635"
"0.0","0.0034033375504345363","5420","25804","false","25804"
"0.0","7.994030125789955E-4","8997","23658","false","23658"
"0.0","0.005099857238702734","2946","1958","false","1958"
"0.0","0.022007451365352773","173","1387","true","1387"
"0.0","0.008751117285338698","1079","4926","true","4926"
"0.0","0.003004660145289918","5879","2035","false","2035"
"0.0","0.003846265629416995","4787","54512","false","54512"
"0.0","0.010924846947566005","607","1915","true","1915"
"0.0","0.004894019825261319","3114","5335","false","5335"
"0.0","0.005164631524776705","2898","3895","false","3895"
"0.0","0.006034516425893","2427","1936","false","1936"
"0.0","0.008823175698149234","1057","3791","true","3791"
"0.0","0.009190403113451446","950","308","true","308"
"0.0","5.099862672379506E-4","10505","133522","false","133522"
"0.0","0.006798726439523162","1985","2099","false","2099"
"0.0","0.016403853201521226","256","6597","true","6597"
"0.0","0.0046393176164854005","3473","79039","false","79039"
"0.0","0.0014853371432309512","7219","30836","false","30836"
"0.0","0.01223181449064151","442","2260","true","2260"
"0.0","0.0013946854831215993","7352","2224","false","2224"
"0.0","0.017290698941421746","231","7040","true","7040"
"0.0","0.007226108971429972","1708","7341","true","7341"
"0.0","0.009463728396821604","871","355","true","355"
"0.0","9.888419408610916E-4","8337","51678","false","51678"
"0.0","0.0036029751696343773","5159","2512","false","2512"
"0.0","0.009226876820741822","941","2243","true","2243"
"0.0","0.020050513937157642","185","3688","true","3688"
"0.0","0.007029201662416139","1836","10817","true","10817"
"0.0","2.2634401412786708E-4","13350","2566","false","2566"
"0.0","0.0016101117445088459","7043","11337","false","11337"
"0.0","0.010647033848978048","659","2810","true","2810"
"0.0","0.011199010162709987","563","2908","true","2908"
"0.0","0.009756377156153821","808","7041","true","7041"
"0.0","0.0015521826991279312","7122","11319","false","11319"
"0.0","6.29310658542458E-5","16803","2645","false","2645"
"0.0","9.673206802398373E-4","8411","5208","false","5208"
"0.0","0.009932677158886898","771","3309","true","3309"
"0.0","8.885694242577291E-4","8671","1801","false","1801"
"0.0","1.6796935784039145E-4","14275","6514","false","6514"
"0.0","0.007866831013054765","1413","3838","true","3838"
"0.0","0.004294522214161449","4034","6517","false","6517"
"0.0","0.0037587884650701815","4921","1616","false","1616"
"0.0","2.80805808668679E-4","12640","2898","false","2898"
"0.0","0.005965432294923128","2463","6386","false","6386"
"0.0","0.007430126328361489","1604","9463","true","9463"
"0.0","1.491122464208354E-4","14618","2897","false","2897"
"0.0","0.011418406117636169","522","904","true","904"
"0.0","0.008242431163642044","1269","2896","true","2896"
"0.0","4.7027829277256327E-4","10801","10287","false","10287"
"0.0","0.00846269530019476","1182","2781","true","2781"
"0.0","9.811850330766962E-4","8366","2775","false","2775"
"0.0","0.008469765515605162","1178","2771","true","2771"
"0.0","0.008752562252272554","1078","2773","true","2773"
"0.0","9.02213274725064E-4","8624","3298","false","3298"
"0.0","0.006945113288873721","1899","7329","true","7329"
"0.0","0.0011765289441952743","7790","3984","false","3984"
"0.0","0.0070435854255361885","1821","3084","true","3084"
"0.0","6.592325205248488E-5","16691","2252","false","2252"
"0.0","0.0022022959256989727","6579","3339","false","3339"
"0.0","0.005540951942522041","2697","10459","false","10459"
"0.0","0.0013384668742663077","7436","8974","false","8974"
"0.0","5.165488679051759E-5","17170","2826","false","2826"
