#rank	DiaBLE_node	p_hyper
264	8454	4.286654597892718e-37
265	3837	5.096715155451043e-37
266	1665	5.5238925477639995e-37
267	2023	5.904494590722378e-37
268	55294	2.0206837422882922e-37
269	10399	1.6155022966758201e-37
270	3428	4.178870305953288e-37
271	3838	2.415782879798305e-37
272	55832	1.5237112145017593e-37
273	83732	1.6422293818764946e-37
274	220988	9.211249697642032e-38
275	1938	4.074640170951747e-38
276	10987	1.5458789103288553e-38
277	11060	2.6127339754088756e-38
278	8570	4.327859296998154e-39
279	10432	1.1422171641884655e-38
280	10614	7.806901779863131e-39
281	23450	4.8416348338634906e-39
282	677770	9.347492408692493e-40
283	27339	2.310848730147344e-40
284	24148	1.5321337445107917e-40
285	9055	4.155607264241164e-40
286	10291	1.855104668794998e-40
287	6426	8.470875791469101e-40
288	4914	3.640859590264334e-40
289	6188	6.149787548431334e-40
290	57721	8.913612136637198e-41
291	10075	3.1914541709255383e-41
292	1973	6.771320068941344e-42
293	498	1.0276205548070234e-42
294	5478	5.0084234593972065e-42
295	2335	3.613311198064793e-42
296	6128	1.0828426075736334e-41
297	9775	2.4976769364556725e-42
298	124245	1.8852940913265694e-42
299	292	2.7057572721148434e-43
300	6129	4.291744300760313e-43
301	6201	9.536165713455698e-44
302	6205	4.1175225934728536e-44
303	6187	2.8832834922744116e-44
304	6228	1.4250765728989767e-44
305	6222	3.051620057466027e-45
306	55011	2.2063211494773757e-45
307	6189	1.7801654838119767e-45
308	83743	5.5319567372520474e-46
309	6125	2.5905399380096152e-45
310	3676	6.366358418962415e-46
311	6193	9.033555058036836e-47
312	6208	1.3596726456671078e-47
313	6133	5.956852444294903e-47
314	6152	7.829710146578475e-48
315	4736	1.644429951218928e-48
316	6230	3.592630127180885e-49
317	6155	7.4386653290116795e-50
318	3921	1.4923748299434905e-50
319	6217	2.6359408570359752e-51
320	25980	1.0600621204475209e-51
321	6210	1.1839277207155302e-51
322	6207	1.974284901804591e-52
323	6203	4.674299609480254e-53
324	6175	9.866557726876243e-54
325	6202	1.8476885493021923e-54
326	5978	1.860110042126893e-55
327	6138	5.5674282947740085e-56
328	6144	1.2663292004182338e-56
329	6141	1.929324293581109e-57
330	6130	3.848571636866964e-58
331	6132	6.55449473527473e-58
332	6218	2.7029302600288794e-58
333	6181	5.103792898213957e-59
334	7443	1.7794914297953605e-58
335	6157	3.191128935008083e-59
336	9045	1.4508964143852597e-59
337	6232	2.0360702681329487e-60
338	9349	2.521726376920574e-61
339	6142	2.8406819111899063e-62
340	6146	4.236527850926304e-63
341	6224	1.285922711295832e-63
342	6124	1.5178444964747981e-63
343	6231	2.842086051737914e-64
344	5501	1.9634439927775047e-64
345	6176	4.412841451628702e-65
346	6169	1.435471539931916e-65
347	6156	1.5302400092985436e-66
348	6147	2.413308992238667e-67
349	6194	9.956431479871726e-68
350	5071	2.689516008312062e-67
351	6122	1.8082655469404064e-67
352	6204	5.3143699556333244e-67
353	6160	1.1156281877995475e-67
354	6206	8.589524487889501e-69
355	2203	2.57676144918261e-69
356	56257	6.08551594515173e-69
357	23376	2.640963688434411e-69
358	10528	6.701465922394814e-70
359	6143	2.7492391914455104e-70
360	6229	6.130277945955782e-69
361	51574	2.565297976022847e-69
362	6234	5.15174313458595e-70
363	140801	2.4296869399895627e-71
364	6209	3.748234950467787e-72
365	6168	6.61185277675304e-72
366	6161	6.056160422958878e-71
367	6137	3.78924615695336e-71
368	9493	1.5838546971692417e-71
369	25873	3.3966232983808736e-72
370	23521	1.2245030955636557e-71
371	6164	1.7501622654509155e-71
372	11224	4.985936275584717e-72
373	6625	5.589401277876407e-72
374	6139	2.2609494520756144e-72
375	6159	1.810782373028147e-73
376	100288687	2.076860403321705e-72
377	9188	5.672169809667047e-72
378	7412	7.775431312218204e-73
379	6165	9.461555368862516e-72
380	10112	5.845896944278151e-72
381	6227	2.248736950812217e-71
382	220717	1.2082706136612825e-71
383	101929876	2.8144068331063447e-71
384	81533	1.534172944051668e-70
385	4904	1.965566668586793e-70
386	4692	2.4782563813096677e-71
387	8453	4.02523561780489e-71
388	6154	8.592098999380076e-71
389	9924	2.0631972676808604e-71
390	9212	2.915834529593927e-71
391	51343	3.0045766813098584e-70
392	54443	6.69290386476784e-70
393	4839	1.035043676137585e-70
394	26354	7.057469385086194e-71
395	2091	3.2455336610434978e-71
396	4520	9.080399474378655e-73
397	9928	2.2271788671243755e-71
398	8886	9.041611469539795e-72
399	51602	2.090348534744321e-71
400	1894	7.251955364024955e-72
401	92421	9.925969578231115e-72
402	51065	2.0136269565092716e-72
403	65992	5.977593282227699e-71
404	55226	6.171644308034077e-72
405	128866	3.3379880489837596e-72
406	26156	7.321084746416296e-72
407	23212	6.12503171928806e-73
408	6158	7.549015090760885e-73
409	23560	8.178376991800047e-72
410	4799	1.9651192320515115e-72
411	10969	1.0568550273425323e-71
412	6233	4.9070558898470934e-71
413	23070	3.82097786351848e-70
414	23367	2.987227487161184e-71
415	51547	4.4199568495229557e-70
416	55299	2.465022793666e-70
417	6430	3.898803578777842e-71
418	6431	4.904837703314742e-71
419	117246	1.4851656529929204e-71
420	50809	5.439593552163588e-72
421	1736	2.82694196741138e-70
422	55646	1.2275655125102036e-69
423	9506	1.9931675617179176e-69
424	4809	2.2537878868777532e-69
425	55922	3.2542510697873135e-69
426	10425	3.545274565003452e-70
427	149041	2.3536813409761897e-69
428	54542	6.202035261368914e-70
429	8761	1.5981471424472758e-70
430	57062	2.7786675082061874e-69
431	10492	1.1682196792833227e-69
432	56829	3.206333561438211e-69
433	8266	6.625124016465047e-69
434	4673	2.6847376509210735e-68
435	57664	2.442179963300759e-68
436	10949	3.7809246520559497e-69
